datetime,dailyid,dayofweek,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type,gender,longitude,latitude,previous_datetime,previous_interval_s,next_interval_s,distance_m,speed_calc_kmh,mesh1kmid,state
2018/10/02 3:22:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,21.237,0.08,2,165.558,2,37,37387,5133370638,37,37387,37,37203,,na,133.960797,34.253109,2018/10/02 3:17:00,300,-120,24.83207268,0.2979848722,51333706,Stay
2018/10/02 3:46:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,14.053,0.958,2,268.359,2,37,37387,5133371875,37,37387,37,37203,,na,133.982037,34.264284,2018/10/02 3:41:00,300,-180,295.2029218,3.542435062,51333718,Stay
2018/10/02 3:36:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,13.781,2.405,2,144.772,2,37,37387,5133371853,37,37387,37,37203,,na,133.979323,34.263039,2018/10/02 3:31:00,300,-300,735.2144252,8.822573103,51333718,Move
2018/10/02 3:31:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,66.297,3.051,2,68.022,2,37,37387,5133371727,37,37387,37,37203,,na,133.972134,34.260138,2018/10/02 3:24:00,420,-300,1314.661524,11.26852735,51333717,Move
2018/10/02 3:49:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,6.067,1.909,2,243.303,2,37,37201,5133371872,37,37387,37,37203,,na,133.978555,34.264184,2018/10/02 3:46:00,180,-180,320.179127,6.403582541,51333718,Move
2018/10/02 3:07:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,128.9,0.186,2,,,37,37387,5133370638,37,37387,37,37203,,na,133.960861,34.25286,2018/10/02 3:02:00,300,-600,56.31720504,0.6758064605,51333706,Stay
2018/10/02 3:41:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,25.029,0.268,2,50.199,2,37,37387,5133371843,37,37387,37,37203,,na,133.979775,34.262399,2018/10/02 3:36:00,300,-300,82.40064429,0.9888077315,51333718,Stay
2018/10/02 3:57:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,116.1,2.211,2,283.589,2,37,37387,5133370872,37,37387,37,37203,,na,133.978096,34.25635,2018/10/02 3:52:00,300,-120,767.0285284,9.204342341,51333708,Move
2018/10/02 3:17:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,6.067,1.436,2,323.782,2,37,37387,5133370638,37,37387,37,37203,,na,133.960937,34.252918,2018/10/02 3:07:00,600,-300,9.507138599,0.05704283159,51333706,Stay
2018/10/02 3:02:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,7.585,7.032,2,162.456,2,37,37387,5133370648,37,37387,37,37203,,na,133.960706,34.25335,2018/10/02 2:49:00,780,-300,4003.731808,18.47876219,51333706,Move
2018/10/02 3:24:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,82.5,0.274,2,57.152,2,37,37387,5133370638,37,37387,37,37203,,na,133.960861,34.25286,2018/10/02 3:22:00,120,-420,28.30551971,0.8491655913,51333706,Origin
2018/10/02 3:59:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,7.585,2.636,2,69.239,2,37,37387,5133370789,37,37387,37,37203,,na,133.974688,34.257174,2018/10/02 3:57:00,120,-240,326.3399144,9.790197431,51333707,Move
2018/10/02 3:52:00,f14573a3b7ceff373c7c20a458bbedfc81b9d529a7321c89f378690d68e3aeed502caba6c29da90d19c71af82dbc6fa0,2,Android,Japan,44010,Japan,,ja,,,,14.803,1.661,2,165.995,2,37,37387,5133371851,37,37387,37,37203,,na,133.976411,34.263106,2018/10/02 3:49:00,180,-300,230.6270049,4.612540098,51333718,Origin
2018/10/02 3:35:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.1,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:29:00,360,-360,0,0,51333707,Stay
2018/10/02 3:41:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.9,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:35:00,360,-300,0,0,51333707,Stay
2018/10/02 3:18:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,17.6,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:12:00,360,-300,0,0,51333707,Stay
2018/10/02 3:23:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:18:00,300,-360,0,0,51333707,Stay
2018/10/02 3:52:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.9,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:46:00,360,-480,0,0,51333707,Stay
2018/10/02 3:29:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.4,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:23:00,360,-360,0,0,51333707,Stay
2018/10/02 3:12:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,22.5,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:00:00,720,-360,0,0,51333707,Stay
2018/10/02 3:00:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.1,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 2:55:00,300,-720,0,0,51333707,Stay
2018/10/02 3:46:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.4,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:41:00,300,-360,0,0,51333707,Stay
